DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2016-07-11,7151.3408203125,22,0,12.0,150,81.5
2016-07-12,7192.24072265625,25,0,13.6,153,83.2
2016-07-13,7176.99072265625,16,0,8.7,148,80.4
2016-07-14,7215.3408203125,17,0,9.2,150,81.5
2016-07-15,7194.390625,18,0,9.8,147,79.9
2016-07-18,7162.24072265625,15,0,8.2,145,78.8
2016-07-19,7178.19091796875,12,0,6.5,144,78.3
2016-07-20,7221.29052734375,15,0,8.2,149,81.0
2016-07-21,7186.69091796875,19,0,10.3,148,80.4
2016-07-22,7227.44091796875,14,0,7.6,149,81.0
2016-07-25,7305.59033203125,28,0,15.2,151,82.1
2016-07-26,7269.990234375,25,0,13.6,151,82.1
2016-07-27,7297.89013671875,18,0,9.8,151,82.1
2016-07-28,7338.64013671875,27,0,14.7,155,84.2
2016-07-29,7329.990234375,25,0,13.6,153,83.2
2016-08-01,7335.0400390625,35,0,19.0,152,82.6
2016-08-02,7310.89013671875,26,0,14.1,150,81.5
2016-08-03,7232.79052734375,7,0,3.8,147,79.9
2016-08-04,7248.54052734375,5,0,2.7,146,79.3
2016-08-05,7364.0400390625,16,0,8.7,155,84.2
2016-08-08,7398.240234375,26,0,14.1,157,85.3
2016-08-09,7368.4404296875,16,0,8.7,158,85.9
2016-08-10,7276.990234375,8,0,4.3,154,83.7
2016-08-11,7289.490234375,7,0,3.8,153,83.2
2016-08-12,7347.4404296875,11,0,6.0,154,83.7
2016-08-16,7339.240234375,17,0,9.2,150,81.5
2016-08-17,7343.6904296875,20,0,10.9,153,83.2
2016-08-18,7390.1904296875,21,0,11.4,152,82.6
2016-08-19,7397.7900390625,21,0,11.4,156,84.8
2016-08-22,7363.7900390625,15,0,8.2,155,84.2
2016-08-23,7359.740234375,10,0,5.4,152,82.6
2016-08-24,7386.0400390625,15,0,8.2,155,84.2
2016-08-25,7343.490234375,17,2,9.2,158,85.9
2016-08-26,7334.7900390625,12,2,6.5,156,84.8
2016-08-29,7360.990234375,13,3,7.1,153,83.2
2016-08-30,7461.9404296875,19,2,10.3,153,83.2
2016-08-31,7490.64013671875,30,0,16.2,153,82.7
2016-09-01,7474.2900390625,15,0,8.1,154,83.2
2016-09-02,7504.59033203125,22,0,11.9,156,84.3
2016-09-06,7614.990234375,31,1,16.8,159,85.9
2016-09-07,7607.1904296875,32,0,17.3,158,85.4
2016-09-08,7642.68994140625,22,2,11.9,159,85.9
2016-09-09,7575.5400390625,20,1,10.8,158,85.4
2016-09-12,7420.490234375,3,1,1.6,156,84.3
2016-09-14,7455.2900390625,5,1,2.7,154,83.2
2016-09-15,7462.6904296875,6,0,3.2,155,83.8
2016-09-16,7487.1904296875,10,1,5.4,154,83.2
2016-09-19,7513.7900390625,5,0,2.7,156,84.3
2016-09-20,7490.2900390625,6,0,3.2,155,83.8
2016-09-21,7491.6904296875,5,0,2.7,155,83.8
2016-09-22,7572.990234375,13,1,7.0,157,84.9
2016-09-23,7554.89013671875,14,0,7.5,154,82.8
2016-09-26,7479.740234375,11,0,5.9,154,82.8
2016-09-27,7469.9404296875,13,1,7.0,155,83.3
2016-09-28,7514.9404296875,14,1,7.5,153,82.3
2016-09-29,7336.84033203125,15,4,8.0,150,80.2
2016-09-30,7394.84033203125,6,2,3.2,151,80.7
2016-10-03,7532.240234375,23,0,12.3,156,83.4
2016-10-04,7567.6904296875,30,0,16.0,155,82.9
